S.no,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Suggestions,Sentiment
0,340,5,2,7,6,9,2,1,8,Very helpful and interactive session,Positive
1,253,6,5,8,6,2,1,2,9,The class was too fast paced,Positive
2,680,7,7,6,5,4,2,3,1,Great use of visuals,Positive
3,806,9,6,7,1,5,9,4,6,More examples should be added,Positive
4,632,8,10,8,4,6,6,9,9,Explain topics in a simpler way,Neutral
5,832,7,2,7,8,3,5,1,4,Assignments were challenging,Positive
6,772,9,3,5,2,10,3,8,1,Include more practicals,Positive
7,961,9,8,7,4,4,3,3,10,Helped clear my doubts clearly,Positive
8,814,6,5,8,6,4,4,7,9,"Too much theory, less engagement",Neutral
9,863,5,9,4,7,9,4,4,5,Loved the interactive session,Positive
10,576,10,3,8,6,6,3,6,9,Very helpful and interactive session,Positive
11,702,8,4,7,1,2,1,8,8,The class was too fast paced,Positive
12,541,5,4,4,2,2,7,8,1,Great use of visuals,Positive
13,552,5,6,7,2,7,4,4,2,More examples should be added,Positive
14,510,6,7,8,3,4,7,7,6,Explain topics in a simpler way,Neutral
15,159,7,7,6,6,3,9,3,1,Assignments were challenging,Positive
16,223,9,10,4,5,7,10,10,6,Include more practicals,Positive
17,807,8,3,4,2,2,4,6,1,Helped clear my doubts clearly,Positive
18,525,9,9,4,3,5,5,9,2,"Too much theory, less engagement",Neutral
19,799,5,6,5,4,2,1,1,7,Loved the interactive session,Positive
20,24,9,10,6,10,2,10,1,9,Very helpful and interactive session,Positive
21,509,8,2,7,5,2,3,4,4,The class was too fast paced,Positive
22,797,9,10,4,10,9,2,10,7,Great use of visuals,Positive
23,418,8,8,6,7,9,5,2,8,More examples should be added,Positive
24,48,5,5,4,2,1,10,10,9,Explain topics in a simpler way,Neutral
25,657,9,5,7,3,2,8,10,6,Assignments were challenging,Positive
